date,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
2023-01-01,1025.9,19.9,18.3,16.8,13.1,72,49,9.3,80,26.3,1
2023-01-02,1022.2,15.6,12.4,10.7,11.2,93,96,0,20,31.9,1
2023-01-03,1024.4,24.8,18.5,14.4,10.1,61,19,10.7,40,16.9,0
2023-01-04,1015.3,25.5,21.5,19.1,18.9,86,83,6.1,50,4.5,0
2023-01-05,1012.2,23.4,22.5,20.8,18.7,80,89,0.3,60,27,1
2023-01-06,1009.5,31.8,29.9,28.7,25.7,79,72,7,220,25.2,0
2023-01-07,1010.3,33.1,30,27.8,26,80,83,6.3,190,24.4,1
2023-01-08,1005.1,33.9,30.1,27,24.9,74,47,10.4,50,14.1,1
2023-01-09,1007.4,29,27.4,25.8,25,87,88,0.9,40,5.7,1
2023-01-10,1011,32.7,29.8,28.2,24.8,75,78,8.5,140,12.7,1
2023-01-11,1020.4,27.2,25.6,24.4,21.6,79,66,5.3,80,40.8,1
2023-01-12,1018.9,25.2,22.4,20.4,17.7,75,56,6,100,15.7,1
2023-01-13,1020.8,18.7,16.1,14.2,12.1,77,34,9.1,30,24.4,0
2023-01-14,1019.3,17.5,16.5,15.6,12.9,79,81,1.5,60,33.2,1
2023-01-15,1015.4,16.1,15.1,14.5,14.6,97,97,0,50,37.5,1
2023-01-16,1013.5,17.1,16.4,15.5,15.6,95,93,0,60,40,1
2023-01-17,1011.5,20.6,17.8,14.8,16.1,90,79,1.6,20,23.4,1
2023-01-18,1017.1,17.8,15.2,11.9,11.1,76,49,3.9,50,28.4,0
2023-01-19,1020.1,17.6,16.4,15.3,12.5,78,84,1,60,38,0
2023-01-20,1019.6,16.8,15.5,14.8,13.9,90,92,0,70,50.6,1
2023-01-21,1017.7,17.1,16.1,15.1,15.3,95,100,0,50,26.2,1
2023-01-22,1018.9,16.2,14.1,10.3,12.9,92,100,0,50,35.3,1
2023-01-23,1027.1,10.4,8.5,7,3.4,70,95,0,20,55.5,1
2023-01-24,1034.6,7.1,4.9,3.1,2.2,61,96,0,20,59.5,1
2023-01-25,1032.6,10.8,7.4,4.3,3.7,46,25,10.1,20,28.7,0
2023-01-26,1027.1,13.5,10.4,8.1,2.5,59,85,0.4,20,21.3,1
2023-01-27,1022.7,15.3,13,9.8,11.6,92,95,0.2,20,29.6,1
2023-01-28,1018.2,17.4,16.1,14.8,15.7,98,100,0,60,28.8,1
2023-01-29,1017.9,17.4,16.6,15.9,15.9,96,91,0.2,50,25,1
2023-01-30,1020,19.9,17.6,16.2,15.5,88,80,3.3,50,21.2,0
2023-01-31,1019.9,16.2,15.7,15.3,13.4,86,93,0.1,70,43.1,1
2023-02-01,1022,21.7,18.9,17.2,15.6,81,83,0.6,50,15.3,1
2023-02-02,1024.4,11.2,10.4,9.4,6.8,79,94,0,10,27.3,1
